"category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology","kegg_url"
"GO:0005622",3.7885530640859e-25,1,3969,14854,"intracellular anatomical structure","CC","https://www.genome.jp/dbget-bin/www_bget?pathway:GO:0005622"
"GO:0019814",2.52037527057386e-22,1,98,162,"immunoglobulin complex","CC","https://www.genome.jp/dbget-bin/www_bget?pathway:GO:0019814"
"GO:0005515",4.77210385507119e-22,1,3852,14556,"protein binding","MF","https://www.genome.jp/dbget-bin/www_bget?pathway:GO:0005515"
"GO:0002376",5.54892390001617e-21,1,906,2897,"immune system process","BP","https://www.genome.jp/dbget-bin/www_bget?pathway:GO:0002376"
"GO:0043231",3.74464265873145e-20,1,3303,12141,"intracellular membrane-bounded organelle","CC","https://www.genome.jp/dbget-bin/www_bget?pathway:GO:0043231"
"GO:0005488",4.12959733258732e-20,1,4270,16466,"binding","MF","https://www.genome.jp/dbget-bin/www_bget?pathway:GO:0005488"
"GO:0006955",6.21532863258603e-20,1,677,2117,"immune response","BP","https://www.genome.jp/dbget-bin/www_bget?pathway:GO:0006955"
"GO:0005654",2.98465145002157e-19,1,1284,4154,"nucleoplasm","CC","https://www.genome.jp/dbget-bin/www_bget?pathway:GO:0005654"
"GO:0031981",3.65178379945832e-19,1,1376,4503,"nuclear lumen","CC","https://www.genome.jp/dbget-bin/www_bget?pathway:GO:0031981"
"GO:0031974",1.03012446408949e-18,1,1662,5655,"membrane-enclosed lumen","CC","https://www.genome.jp/dbget-bin/www_bget?pathway:GO:0031974"
"GO:0043233",1.03012446408949e-18,1,1662,5655,"organelle lumen","CC","https://www.genome.jp/dbget-bin/www_bget?pathway:GO:0043233"
"GO:0070013",1.03012446408949e-18,1,1662,5655,"intracellular organelle lumen","CC","https://www.genome.jp/dbget-bin/www_bget?pathway:GO:0070013"
"GO:0048518",1.2697231586486e-18,1,1814,6166,"positive regulation of biological process","BP","https://www.genome.jp/dbget-bin/www_bget?pathway:GO:0048518"
"GO:0048522",3.98425107710634e-18,1,1719,5808,"positive regulation of cellular process","BP","https://www.genome.jp/dbget-bin/www_bget?pathway:GO:0048522"
"GO:0043227",4.13412488474713e-18,1,3535,13173,"membrane-bounded organelle","CC","https://www.genome.jp/dbget-bin/www_bget?pathway:GO:0043227"
"GO:0005737",5.36338274421339e-18,1,3272,12138,"cytoplasm","CC","https://www.genome.jp/dbget-bin/www_bget?pathway:GO:0005737"
"GO:0003823",6.15562365032303e-18,1,91,165,"antigen binding","MF","https://www.genome.jp/dbget-bin/www_bget?pathway:GO:0003823"
"GO:0002250",7.17935043282834e-18,1,287,755,"adaptive immune response","BP","https://www.genome.jp/dbget-bin/www_bget?pathway:GO:0002250"
"GO:0043229",1.51719729042828e-17,1,3549,13240,"intracellular organelle","CC","https://www.genome.jp/dbget-bin/www_bget?pathway:GO:0043229"
"GO:0045321",9.40275099429506e-17,1,355,983,"leukocyte activation","BP","https://www.genome.jp/dbget-bin/www_bget?pathway:GO:0045321"
